"","Nome","Posição","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"1","Rodriguinho","MEI","Corinthians","24,64",4,"10,95","0,00","0,00",4,4,1,0,10,2,1,0,0,0,0,0,0,0,0,8,0,10
"2","Rafael","GOL","Cruzeiro","7,71",1,"10,50","0,00","0,00",0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0
"3","Arrascaeta","MEI","Cruzeiro","17,70",5,"9,82","0,00","0,00",13,1,2,0,12,6,7,1,0,0,0,0,1,0,0,10,0,12
"4","Everton","ATA","Grêmio","16,36",5,"9,76","10,90","1,34",9,1,3,0,9,8,4,1,0,0,0,0,1,0,0,4,0,8
"5","Trauco","LAT","Flamengo","7,34",2,"9,75","0,00","0,00",4,0,2,1,0,0,1,0,0,0,0,0,0,0,0,3,0,4
"6","Thiago Rodrigues","GOL","Paraná","6,70",2,"9,60","7,70","0,22",0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,1
"7","Gustavo Blanco","MEI","Atlético-MG","18,71",6,"9,42","6,30","-0,41",29,0,3,0,1,2,6,2,0,0,0,0,3,0,0,15,1,11
"8","Anselmo","MEI","Sport","18,09",7,"9,31","26,20","4,93",34,2,0,0,13,3,1,1,0,0,0,0,1,0,0,18,0,13
"9","Arthur","MEI","Grêmio","16,80",4,"9,22","0,00","0,00",11,1,1,0,17,1,0,0,0,0,0,0,0,0,0,2,0,3
"10","Lucas Paquetá","MEI","Flamengo","21,28",6,"9,22","1,90","-0,48",21,2,1,0,17,5,5,0,0,0,0,0,2,0,0,12,0,19
"11","Róger Guedes","ATA","Atlético-MG","13,78",7,"8,96","6,60","-0,07",5,5,0,0,23,7,7,1,0,0,0,0,1,0,0,9,1,21
"12","Giovanni","LAT","América-MG","7,33",3,"8,93","-1,80","-1,56",5,2,0,1,4,0,0,0,0,0,0,0,1,0,0,1,0,4
"13","Pedro","ATA","Fluminense","16,59",7,"8,93","15,70","2,79",4,5,2,0,17,4,5,0,0,0,0,0,1,0,0,13,0,9
"14","Pedro Geromel","ZAG","Grêmio","17,65",3,"8,57","0,00","0,00",12,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,2
"15","Dedé","ZAG","Cruzeiro","10,64",5,"8,30","6,00","-0,61",10,2,0,3,4,3,2,0,0,0,0,0,3,0,0,7,0,6
"16","Edson","MEI","Bahia","7,14",1,"8,20","0,00","0,00",5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1
"17","Paolo Guerrero","ATA","Flamengo","13,78",2,"8,05","0,00","0,00",0,1,1,0,4,4,0,0,0,0,0,0,0,0,0,2,1,2
"18","Gatito Fernández","GOL","Botafogo","14,65",2,"8,05","0,00","0,00",0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,3
"19","Neris","ZAG","Paraná","6,40",2,"8,00","8,30","0,85",6,0,0,2,0,1,1,0,0,0,0,0,1,0,0,3,0,5
"20","Thiago Carleto","LAT","Atlético-PR","17,86",7,"7,99","8,10","0,92",11,1,2,3,11,6,6,1,0,0,0,0,2,0,0,4,0,27
"21","Sidcley","LAT","Corinthians","14,30",6,"7,80","0,90","-2,11",16,1,1,2,7,0,0,0,0,0,0,0,0,0,0,2,0,9
"22","Vinicius Junior","ATA","Flamengo","16,71",7,"7,73","7,80","0,54",3,4,3,0,14,4,5,0,0,0,0,0,2,0,0,5,1,22
"23","Zé Rafael ","MEI","Bahia","19,58",7,"7,63","15,80","2,55",14,1,0,0,28,8,8,3,0,0,0,0,1,0,0,15,0,17
"24","João Pedro ","LAT","Bahia","6,03",2,"7,40","13,00","2,66",4,0,1,1,2,0,2,0,0,0,0,0,0,0,0,2,0,12
"25","Jailson","GOL","Palmeiras","14,43",6,"7,37","-3,00","-2,82",0,0,0,2,0,0,0,0,16,0,0,0,0,0,6,0,0,6
"26","Nino Paraíba","LAT","Bahia","13,84",5,"7,34","0,00","0,00",16,0,0,2,11,2,2,0,0,0,0,0,1,0,0,3,0,11
"27","Rodrigo Moledo","ZAG","Internacional","12,39",6,"7,32","4,60","-0,73",13,1,0,4,6,2,1,0,0,0,0,0,1,0,0,9,1,8
"28","Júnior","LAT","Paraná","5,17",3,"7,23","5,30","-0,87",8,0,0,2,5,1,0,0,0,0,0,0,1,0,0,2,0,2
"29","Christian","MEI","América-MG","11,21",2,"7,20","0,00","0,00",7,0,0,0,6,2,1,0,0,0,0,0,0,0,0,2,0,3
"30","Bruno Cortez","LAT","Grêmio","15,80",6,"7,10","7,80","0,77",15,0,0,5,11,0,0,0,0,0,0,0,0,0,0,10,0,18
"31","Egídio","LAT","Cruzeiro","10,00",4,"7,00","7,60","0,64",12,0,0,3,5,2,0,0,0,0,0,0,1,0,0,9,1,7
"32","Fábio","GOL","Cruzeiro","12,71",6,"6,90","13,70","2,11",0,0,0,3,0,0,0,0,11,0,0,0,0,0,3,0,0,2
"33","Shaylon","MEI","São Paulo","4,70",1,"6,90","0,00","0,00",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
"34","Patrick","MEI","Internacional","16,02",7,"6,87","3,90","-0,95",26,1,1,0,9,4,2,0,0,0,0,0,1,0,0,15,0,15
"35","Balbuena","ZAG","Corinthians","16,97",5,"6,86","5,10","-0,44",18,0,0,2,3,1,0,0,0,0,0,0,0,0,0,1,0,15
"36","Pio","MEI","Ceará","7,60",4,"6,83","0,00","0,00",12,1,1,0,2,3,4,0,0,0,1,0,0,0,0,5,1,13
"37","Clayson","ATA","Corinthians","11,94",3,"6,83","0,00","0,00",6,1,1,0,3,1,0,0,0,0,0,0,0,0,0,4,0,6
"38","Víctor Cuesta","ZAG","Internacional","16,32",6,"6,82","0,00","0,00",23,0,0,4,4,0,0,0,0,0,0,0,3,0,0,12,0,12
"39","Gilberto ","LAT","Fluminense","9,25",6,"6,80","13,80","1,42",12,1,2,2,10,3,1,0,0,0,0,1,0,0,0,7,1,16
"40","Yago Pikachu","LAT","Vasco","14,82",6,"6,72","3,60","-0,08",5,2,0,0,19,5,7,1,0,0,0,0,0,0,0,4,2,17
"41","Renê","LAT","Flamengo","11,49",6,"6,67","6,10","0,91",16,0,0,4,5,1,1,0,0,0,0,0,0,0,0,4,1,20
"42","Lucca","ATA","Internacional","9,95",5,"6,60","8,50","-0,57",5,1,2,0,12,4,4,1,0,0,0,0,2,0,0,5,0,10
"43","Marcos Rocha","LAT","Palmeiras","12,40",7,"6,60","4,80","-0,79",22,1,1,3,6,0,0,1,0,0,0,0,2,0,0,15,0,31
"44","Kannemann","ZAG","Grêmio","12,08",5,"6,58","8,80","0,40",13,0,0,4,7,1,0,0,0,0,0,1,1,0,0,6,0,3
"45","Rodrigo Caio","ZAG","São Paulo","12,76",2,"6,55","0,00","0,00",3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,3
"46","Neilton","ATA","Vitória","11,62",6,"6,47","7,20","-0,61",10,2,2,0,15,5,0,0,0,0,0,0,1,0,0,7,2,24
"47","Diego Souza","MEI","São Paulo","12,00",4,"6,40","8,40","0,53",1,3,0,0,4,3,1,0,0,0,0,0,0,0,0,3,2,10
"48","Bruno Cosendey","MEI","Vasco","4,13",2,"6,40","0,00","0,00",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
"49","Bruno Henrique","MEI","Palmeiras","10,75",6,"6,32","8,80","1,54",18,1,1,0,11,4,0,1,0,0,0,0,1,0,0,14,0,16
"50","Réver","ZAG","Flamengo","16,24",5,"6,30","0,00","0,00",1,1,0,3,7,4,1,0,0,0,0,0,0,0,0,0,0,3
"51","Diego Alves","GOL","Flamengo","12,05",5,"6,22","10,40","2,47",0,0,0,3,1,0,0,0,8,0,0,0,0,0,3,0,0,8
"52","Otero","MEI","Atlético-MG","17,33",7,"6,13","0,20","-1,10",7,1,0,0,13,6,10,3,0,0,0,0,0,0,0,6,2,13
"53","Léo Moura","LAT","Grêmio","11,85",5,"6,12","4,90","0,20",3,0,1,4,7,0,0,0,0,0,0,0,0,0,0,3,0,3
"54","Serginho","MEI","América-MG","17,20",7,"6,07","0,40","-0,61",8,2,2,0,10,7,4,0,0,0,0,0,0,0,0,10,1,18
"55","Jonas","MEI","Flamengo","8,49",4,"6,00","13,50","2,03",18,0,0,0,1,2,1,0,0,0,0,0,1,0,0,5,0,6
"56","Fellipe Bastos","MEI","Sport","8,75",6,"5,98","5,00","0,58",12,0,2,0,2,7,8,0,0,0,0,0,0,0,0,6,1,16
"57","Luan","ATA","Grêmio","16,78",5,"5,96","0,00","0,00",5,0,1,0,20,11,2,2,0,0,0,0,0,0,0,9,0,18
"58","Rodinei","LAT","Flamengo","12,29",7,"5,89","6,00","1,21",8,0,1,4,13,3,2,0,0,0,0,0,1,0,0,2,1,12
"59","Éder Militão","LAT","São Paulo","12,27",6,"5,85","-3,80","-2,00",13,1,0,3,7,6,0,0,0,0,0,0,3,0,0,11,0,14
"60","Richard","MEI","Fluminense","15,94",7,"5,83","2,60","-0,47",24,1,0,0,11,2,0,0,0,0,0,0,1,0,0,7,0,16
"61","Paulo André","ZAG","Atlético-PR","8,08",2,"5,80","0,00","0,00",3,0,0,2,4,0,0,0,0,0,0,0,1,0,0,4,0,3
"62","Wallyson","ATA","Vitória","9,39",5,"5,80","0,80","-1,41",4,1,2,0,4,4,2,1,0,0,0,0,0,0,0,3,1,12
"63","Maílson","GOL","Sport","5,14",3,"5,80","0,00","0,00",0,0,1,1,0,0,0,0,4,0,0,0,0,0,2,0,0,2
"64","Jean Mota","MEI","Santos","11,27",6,"5,73","8,00","1,44",14,1,0,0,8,5,7,0,0,0,0,0,0,0,0,10,0,20
"65","Maurício Barbieri","TEC","Flamengo","13,16",7,"5,71","6,33","1,07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","Ayrton Lucas","LAT","Fluminense","10,43",4,"5,70","0,00","0,00",9,0,0,1,15,1,0,0,0,0,0,0,0,0,0,5,0,5
"67","Thuler","ZAG","Flamengo","2,83",1,"5,70","5,70","0,83",2,0,0,1,1,1,0,0,0,0,0,0,1,0,0,2,0,2
"68","Maicon","MEI","Grêmio","8,90",6,"5,57","0,80","-0,46",14,2,0,0,7,3,1,0,0,0,0,0,1,0,0,9,0,14
"69","Fabiano","LAT","Internacional","9,59",4,"5,55","0,00","0,00",9,0,0,3,1,1,0,0,0,0,0,0,1,0,0,4,0,12
"70","Caio Monteiro","ATA","Vasco","4,57",3,"5,53","-0,60","-0,48",2,1,1,0,7,1,1,0,0,0,0,0,0,0,0,4,1,8
"71","Ricardo Oliveira","ATA","Atlético-MG","9,33",6,"5,52","0,00","0,00",3,2,2,0,8,8,5,0,0,0,0,0,2,0,0,8,5,11
"72","Matheus Fernandes","MEI","Botafogo","13,25",7,"5,51","-0,10","-0,88",24,0,1,0,6,4,1,1,0,0,0,0,2,0,0,7,1,16
"73","Weverton","GOL","Palmeiras","8,88",1,"5,50","0,00","0,00",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","Norberto ","LAT","América-MG","11,89",6,"5,50","4,90","-0,12",16,0,1,2,8,0,1,0,0,0,0,0,2,0,0,9,0,9
"75","Leandro Carvalho","ATA","Botafogo","5,86",1,"5,50","0,00","0,00",2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1
"76","Emerson","LAT","Atlético-MG","5,21",2,"5,50","5,40","0,63",6,0,0,1,5,0,0,0,0,0,0,0,1,0,0,4,0,5
"77","Léo","ZAG","Cruzeiro","8,58",5,"5,48","4,70","-0,13",10,0,0,3,1,1,0,0,0,0,0,0,0,0,0,5,1,3
"78","Rafael Moura","ATA","América-MG","12,08",6,"5,40","8,70","1,40",2,3,2,0,6,3,4,0,0,0,0,0,1,0,0,13,3,16
"79","Paulo Miranda","ZAG","Grêmio","7,76",2,"5,40","0,00","0,00",4,0,0,1,3,1,0,0,0,0,0,0,0,0,0,2,0,5
"80","Murilo","ZAG","Cruzeiro","8,07",2,"5,40","0,00","0,00",4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,3
"81","Renato Gaúcho","TEC","Grêmio","14,97",7,"5,39","5,48","0,39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","Thiago Larghi","TEC","Atlético-MG","10,16",7,"5,34","3,89","-0,14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","Marlone","MEI","Sport","10,46",6,"5,30","10,60","1,86",5,1,2,0,10,3,7,0,0,0,0,0,1,0,0,2,1,20
"84","Zeca","LAT","Internacional","9,21",3,"5,30","1,50","-0,61",6,0,0,2,0,1,1,0,0,0,0,0,0,0,0,3,0,12
"85","Silvinho","ATA","Paraná","8,34",7,"5,25","4,20","0,07",11,1,0,0,16,9,7,0,0,0,0,0,1,0,0,6,0,21
"86","Torito González","MEI","Paraná","5,07",4,"5,25","3,50","-0,60",12,0,0,0,11,3,0,0,0,0,0,0,1,0,0,4,0,3
"87","Gabriel","MEI","Corinthians","11,54",5,"5,22","0,00","0,00",17,1,0,0,11,2,0,0,0,0,0,0,3,0,0,11,0,10
"88","Marcelo Lomba","GOL","Internacional","7,72",1,"5,20","0,00","0,00",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"89","Antônio Carlos ","ZAG","Palmeiras","10,47",7,"5,16","7,90","0,24",8,1,0,3,3,1,1,2,0,0,0,0,1,0,0,4,1,13
"90","Keno","ATA","Palmeiras","11,25",7,"5,15","5,00","0,64",17,1,1,0,19,3,3,0,0,0,0,0,0,1,0,10,6,20
"91","Luan","ATA","Atlético-MG","14,59",7,"5,14","7,30","1,28",30,0,0,0,5,3,2,0,0,0,0,0,1,0,0,15,1,21
"92","Rodrigo Dourado","MEI","Internacional","12,76",7,"5,13","11,70","1,67",28,0,0,0,11,1,2,0,0,0,0,0,2,0,0,14,1,11
"93","Léo Duarte","ZAG","Flamengo","8,15",5,"5,12","9,50","2,17",8,0,0,3,1,1,1,0,0,0,0,0,1,0,0,2,0,3
"94","Bressan","ZAG","Grêmio","9,17",5,"5,10","8,00","0,72",5,0,0,4,2,0,0,0,0,0,0,0,0,0,0,3,0,5
"95","Vinícius Freitas","LAT","Chapecoense","4,26",1,"5,10","0,00","0,00",2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
"96","Léo","LAT","Bahia","9,76",6,"5,10","0,00","0,00",16,0,0,2,6,1,1,0,0,0,0,0,0,0,0,6,3,13
"97","Borja","ATA","Palmeiras","12,68",4,"5,08","0,00","0,00",7,1,1,0,4,10,2,0,0,0,0,0,3,0,0,11,4,7
"98","Edigar Junio","ATA","Bahia","9,88",5,"5,06","0,00","0,00",3,2,0,0,7,1,3,1,0,0,0,0,0,0,0,7,1,7
"99","Marquinhos","ATA","América-MG","8,56",4,"5,02","0,00","0,00",4,1,1,0,4,1,2,0,0,0,0,0,0,0,0,1,0,12
"100","Léo","LAT","Fluminense","4,48",1,"5,00","0,00","0,00",3,0,0,0,2,1,0,1,0,0,0,0,1,0,0,3,1,1
"101","Yago","ZAG","Botafogo","4,90",1,"5,00","5,00","-0,10",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"102","Eduardo","LAT","Chapecoense","5,82",2,"5,00","0,00","0,00",3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"103","Júnior Tavares","LAT","São Paulo","7,58",1,"5,00","0,00","0,00",1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0
"104","Nenê","MEI","São Paulo","10,78",7,"4,96","16,60","3,48",6,2,1,0,15,6,2,1,0,0,0,0,1,0,0,6,1,25
"105","Odair Hellmann","TEC","Internacional","10,93",7,"4,96","4,75","-0,21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106","Roger Machado ","TEC","Palmeiras","11,47",7,"4,94","3,66","-0,50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107","Cueva","MEI","São Paulo","12,56",3,"4,93","0,00","0,00",4,0,2,0,6,0,0,0,0,0,0,0,0,0,0,2,1,9
"108","Ángel Romero","ATA","Corinthians","10,87",5,"4,92","13,30","2,40",9,0,2,0,22,5,1,0,0,0,0,0,2,0,0,9,0,22
"109","Abel Braga","TEC","Fluminense","11,62",7,"4,91","5,24","-0,05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110","Arthur ","ATA","Chapecoense","10,10",7,"4,91","12,30","2,23",7,2,0,0,15,10,1,1,0,0,0,0,1,0,0,10,0,16
"111","Marcelo Grohe","GOL","Grêmio","16,24",6,"4,90","5,00","0,13",0,0,0,5,2,0,0,0,2,0,0,0,0,0,1,0,0,2
"112","Tiago ","ZAG","Bahia","7,79",3,"4,87","7,10","0,26",3,0,0,2,2,3,2,0,0,0,0,0,0,0,0,8,1,4
"113","Raphael Alemão","ATA","Paraná","4,45",2,"4,85","0,00","0,00",3,0,0,0,2,1,4,0,0,0,0,0,0,0,0,1,0,3
"114","Juninho","MEI","América-MG","8,78",7,"4,83","5,30","-0,17",21,1,0,0,8,2,0,0,0,0,0,0,1,0,0,9,0,16
"115","Diego Aguirre","TEC","São Paulo","11,41",7,"4,82","3,55","-0,15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116","Victor","GOL","Atlético-MG","11,29",7,"4,82","-1,80","-2,09",0,0,0,2,1,0,0,0,13,0,0,0,0,0,7,0,0,6
"117","Andrés Ríos","ATA","Vasco","7,09",5,"4,82","0,00","0,00",1,3,1,0,9,2,4,1,0,0,0,0,3,1,0,16,1,6
"118","Santos","GOL","Atlético-PR","9,27",7,"4,81","5,00","1,13",0,0,0,3,1,0,0,0,12,0,0,0,0,0,8,0,0,6
"119","Bremer","ZAG","Atlético-MG","6,16",6,"4,80","2,70","-0,59",14,1,0,2,3,0,1,0,0,0,0,0,2,0,0,10,0,13
"120","Rossi","ATA","Internacional","5,79",4,"4,78","8,00","0,93",4,1,1,0,4,1,0,0,0,0,0,0,0,0,0,3,0,4
"121","Claudinei Oliveira","TEC","Sport","8,58",5,"4,78","6,05","0,94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122","Alemão","LAT","Paraná","7,80",6,"4,78","0,00","0,00",17,0,0,1,3,5,2,0,0,0,0,0,0,0,0,8,0,19
"123","Petros","MEI","São Paulo","9,21",2,"4,75","0,00","0,00",6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0
"124","Marcos Junior","ATA","Fluminense","8,06",7,"4,75","8,80","0,87",5,2,1,0,12,4,2,0,0,0,0,0,0,0,0,4,5,8
"125","Rogério","ATA","Sport","8,50",6,"4,67","0,20","-0,93",3,1,1,0,13,3,6,0,0,0,0,0,0,0,0,4,3,7
"126","Hyoran","MEI","Palmeiras","4,91",3,"4,60","8,70","2,03",0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,4
"127","Leandro Pereira","ATA","Chapecoense","7,23",6,"4,57","3,40","0,32",7,1,0,0,9,1,2,1,0,0,0,0,0,0,0,2,1,1
"128","Willian","ATA","Palmeiras","10,25",6,"4,52","0,00","0,00",2,2,0,0,5,2,6,1,0,0,0,0,0,0,0,9,1,4
"129","Léo Cittadini","MEI","Santos","8,97",4,"4,50","0,00","-1,36",9,0,1,0,4,3,1,0,0,0,0,0,1,0,0,6,1,2
"130","Walter","GOL","Corinthians","6,63",2,"4,50","5,00","0,51",0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0
"131","Richardson","MEI","Ceará","7,39",5,"4,50","6,70","1,04",13,0,0,0,15,1,1,0,0,0,0,0,1,0,0,6,0,5
"132","Rodrigo Becão","ZAG","Bahia","3,61",1,"4,50","0,00","0,00",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0
"133","Cléber Reis","ZAG","Paraná","6,03",4,"4,47","4,10","-0,14",6,0,0,2,4,3,0,0,0,0,0,0,1,0,0,4,0,5
"134","Everton","MEI","São Paulo","10,64",6,"4,47","6,60","1,01",4,1,3,0,13,3,2,0,0,0,0,0,1,0,0,6,5,20
"135","Jonathan","LAT","Atlético-PR","9,36",4,"4,45","0,00","0,00",2,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4
"136","Éverton Ribeiro","MEI","Flamengo","6,00",5,"4,42","9,10","1,49",6,2,0,0,15,1,3,0,0,0,0,1,1,0,0,9,0,11
"137","Kelvin","ATA","Vasco","6,67",4,"4,40","0,90","0,28",1,1,2,0,4,1,0,0,0,0,0,0,1,0,0,3,0,4
"138","Fagner","LAT","Corinthians","11,70",3,"4,40","0,00","0,00",5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,11
"139","Mano Menezes","TEC","Cruzeiro","10,91",7,"4,39","6,15","1,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140","Thiago Galhardo","MEI","Vasco","8,65",4,"4,35","0,00","0,00",2,0,2,0,6,3,2,1,0,0,0,0,1,0,0,4,0,8
"141","Thiago Santos","MEI","Palmeiras","6,76",4,"4,35","0,00","0,00",10,0,0,0,1,0,1,1,0,0,0,0,0,0,0,4,0,1
"142","Lucas Silva","MEI","Cruzeiro","5,73",4,"4,35","2,90","-0,31",10,0,0,0,7,5,0,0,0,0,0,0,0,0,0,6,0,7
"143","Pedro Henrique","ZAG","Corinthians","5,65",2,"4,35","0,00","0,00",4,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,3
"144","Paulo Roberto","MEI","Corinthians","3,99",2,"4,30","7,20","1,45",8,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,0,4
"145","Diogo Barbosa","LAT","Palmeiras","10,95",7,"4,30","6,70","0,18",14,0,2,3,2,0,0,0,0,0,0,0,3,0,0,11,0,18
"146","Alisson","MEI","Grêmio","7,73",3,"4,30","0,00","0,00",4,0,0,0,5,4,3,0,0,0,0,0,0,0,0,0,0,8
"147","Cássio","GOL","Corinthians","10,84",5,"4,28","0,00","0,00",0,0,0,2,0,0,0,0,6,0,0,0,0,0,3,0,0,2
"148","Danilo Fernandes","GOL","Internacional","8,25",6,"4,25","1,00","-1,41",0,0,0,3,1,0,0,0,6,0,0,0,0,0,4,0,0,0
"149","Sander","LAT","Sport","9,40",7,"4,25","5,90","1,05",18,0,0,1,12,2,4,0,0,0,0,0,2,0,0,16,0,9
"150","Sornoza","MEI","Fluminense","9,20",7,"4,24","3,90","0,02",10,0,1,0,6,7,9,0,0,0,0,0,1,0,0,4,0,19
"151","Gilson","LAT","Botafogo","8,20",6,"4,22","0,00","0,00",14,1,0,0,14,1,1,0,0,0,0,0,1,0,0,7,0,24
"152","Guto Ferreira","TEC","Bahia","9,49",7,"4,21","7,19","1,10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"153","Igor","LAT","Paraná","2,55",1,"4,20","0,00","0,00",3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
"154","Adilson","MEI","Atlético-MG","7,40",6,"4,18","5,90","0,99",22,0,0,0,10,0,0,0,0,0,0,0,2,0,0,10,0,13
"155","Pablo","ATA","Atlético-PR","9,30",7,"4,15","0,10","-0,22",6,3,0,0,3,7,3,0,0,0,0,0,1,0,0,15,5,9
